kappa,q,sigma,E,iters,converged
0.5,-2.0,0.5,-0.4750242317342463,135,True
0.5,-2.0,1.125,0.03498257889502134,139,True
0.5,-2.0,1.75,0.32611628071045784,133,True
0.5,-2.0,2.375,0.49346805643993424,122,True
0.5,-2.0,3.0,0.5868395787089159,111,True
0.5,-1.0,0.5,0.13034031919842387,115,True
0.5,-1.0,1.125,0.39214072840859193,115,True
0.5,-1.0,1.75,0.5311092430235823,110,True
0.5,-1.0,2.375,0.6076099557281041,103,True
0.5,-1.0,3.0,0.6501256730935077,96,True
0.5,0.0,0.5,0.7065432940889075,69,True
0.5,0.0,1.125,0.7065432940889422,69,True
0.5,0.0,1.75,0.7065432940889236,69,True
0.5,0.0,2.375,0.7065432940889199,69,True
0.5,0.0,3.0,0.7065432940889448,69,True
0.5,1.0,0.5,1.2566809199538638,93,True
0.5,1.0,1.125,0.9886412825778614,93,True
0.5,1.0,1.75,0.8609050418798546,90,True
0.5,1.0,2.375,0.7943465932712394,88,True
0.5,1.0,3.0,0.7576306757633906,84,True
0.5,2.0,0.5,1.7839554495107879,90,True
0.5,2.0,1.125,1.2458903695118495,92,True
0.5,2.0,1.75,0.9995411821412575,91,True
0.5,2.0,2.375,0.8736364440437054,89,True
0.5,2.0,3.0,0.8044500087296165,87,True
1.125,-2.0,0.5,-0.23143304140859627,126,True
1.125,-2.0,1.125,0.2337286013837808,131,True
1.125,-2.0,1.75,0.5208644009091795,130,True
1.125,-2.0,2.375,0.709402050719266,125,True
1.125,-2.0,3.0,0.8324417037169998,118,True
1.125,-1.0,0.5,0.4256058645822353,109,True
1.125,-1.0,1.125,0.6680766470661957,111,True
1.125,-1.0,1.75,0.8098942959616582,109,True
1.125,-1.0,2.375,0.898171607441723,104,True
1.125,-1.0,3.0,0.9542474051743423,100,True
1.125,0.0,0.5,1.0593918184157627,70,True
1.125,0.0,1.125,1.0593918184157802,70,True
1.125,0.0,1.75,1.0593918184157631,70,True
1.125,0.0,2.375,1.0593918184158022,70,True
1.125,0.0,3.0,1.0593918184157556,70,True
1.125,1.0,0.5,1.6718430419051187,93,True
1.125,1.0,1.125,1.4166905859014487,92,True
1.125,1.0,1.75,1.2802423852884741,90,True
1.125,1.0,2.375,1.2010448453410505,88,True
1.125,1.0,3.0,1.1524300913233296,85,True
1.125,2.0,0.5,2.264916827015234,92,True
1.125,2.0,1.125,1.746743670599558,92,True
1.125,2.0,1.75,1.479445269645962,91,True
1.125,2.0,2.375,1.3280491185967795,89,True
1.125,2.0,3.0,1.2362363164513295,87,True
1.75,-2.0,0.5,-0.0358705240027955,121,True
1.75,-2.0,1.125,0.3950241309943903,128,True
1.75,-2.0,1.75,0.6697885170407457,129,True
1.75,-2.0,2.375,0.8617653145067065,127,True
1.75,-2.0,3.0,0.9978848467570764,123,True
1.75,-1.0,0.5,0.6528219438251486,107,True
1.75,-1.0,1.125,0.8796492051893828,109,True
1.75,-1.0,1.75,1.0185415705982441,108,True
1.75,-1.0,2.375,1.1104306581110295,106,True
1.75,-1.0,3.0,1.173037728570922,102,True
1.75,0.0,0.5,1.320902074805596,71,True
1.75,0.0,1.125,1.3209020748056353,71,True
1.75,0.0,1.75,1.3209020748056612,71,True
1.75,0.0,2.375,1.3209020748056555,71,True
1.75,0.0,3.0,1.3209020748056504,71,True
1.75,1.0,0.5,1.9698448221619012,93,True
1.75,1.0,1.125,1.7271356101073654,92,True
1.75,1.0,1.75,1.5893691188787862,90,True
1.75,1.0,2.375,1.504733961205631,88,True
1.75,1.0,3.0,1.4498014862421786,85,True
1.75,2.0,0.5,2.601147140519149,93,True
1.75,2.0,1.125,2.1047757082179976,92,True
1.75,2.0,1.75,1.8320607355329994,91,True
1.75,2.0,2.375,1.6688742480460856,89,True
1.75,2.0,3.0,1.5646813711476217,87,True
2.375,-2.0,0.5,0.13333238790387172,118,True
2.375,-2.0,1.125,0.5355327463401969,126,True
2.375,-2.0,1.75,0.7958492472609342,129,True
2.375,-2.0,2.375,0.9842429783313004,129,True
2.375,-2.0,3.0,1.1251760644345183,127,True
2.375,-1.0,0.5,0.8453716245079538,105,True
2.375,-1.0,1.125,1.0588196210757739,108,True
2.375,-1.0,1.75,1.193066250836072,108,True
2.375,-1.0,2.375,1.2853053088038537,106,True
2.375,-1.0,3.0,1.3510976817171756,104,True
2.375,0.0,0.5,1.5384244061115548,72,True
2.375,0.0,1.125,1.538424406111589,72,True
2.375,0.0,1.75,1.5384244061115717,72,True
2.375,0.0,2.375,1.5384244061116097,72,True
2.375,0.0,3.0,1.5384244061115488,72,True
2.375,1.0,0.5,2.2137206659855098,92,True
2.375,1.0,1.125,1.982283926729323,92,True
2.375,1.0,1.75,1.8456940260836243,90,True
2.375,1.0,2.375,1.7585520488705644,88,True
2.375,1.0,3.0,1.6998599591107686,86,True
2.375,2.0,0.5,2.8725046690475975,93,True
2.375,2.0,1.125,2.3965980957751074,92,True
2.375,2.0,1.75,2.123876869973183,91,True
2.375,2.0,2.375,1.9545174942271255,89,True
2.375,2.0,3.0,1.8426040816006597,87,True
3.0,-2.0,0.5,0.2850591205462067,116,True
3.0,-2.0,1.125,0.6621666932303366,124,True
3.0,-2.0,1.75,0.9074311514121844,128,True
3.0,-2.0,2.375,1.0884826469333486,130,True
3.0,-2.0,3.0,1.2289314881357487,130,True
3.0,-1.0,0.5,1.015783033189914,103,True
3.0,-1.0,1.125,1.2173967190738515,107,True
3.0,-1.0,1.75,1.346297998793556,108,True
3.0,-1.0,2.375,1.437127152301995,107,True
3.0,-1.0,3.0,1.5040505086464089,105,True
3.0,0.0,0.5,1.7286659535140345,73,True
3.0,0.0,1.125,1.728665953514077,73,True
3.0,0.0,1.75,1.728665953514025,73,True
3.0,0.0,2.375,1.7286659535140694,73,True
3.0,0.0,3.0,1.7286659535140096,73,True
3.0,1.0,0.5,2.4247784362830016,92,True
3.0,1.0,1.125,2.2036148492534626,91,True
3.0,1.0,1.75,2.0693767139250236,90,True
3.0,1.0,2.375,1.9813342283991997,88,True
3.0,1.0,3.0,1.9204052707242696,86,True
3.0,2.0,0.5,3.1052010927296463,93,True
3.0,2.0,1.125,2.648277364258729,92,True
3.0,2.0,1.75,2.378177879222324,91,True
3.0,2.0,2.375,2.205743819314025,89,True
3.0,2.0,3.0,2.0888679329987365,87,True
