output_parameters,matrix_dimensions,eigenvalue_fit,training_error,interpolation_error,extrapolation_error
"[0.3978623266154314, 0.3341360882061486, 0.0014662943616204987]",1,0,9.59219196920261,0.02832581412603441,0.4961234286441225
"[0.4127956052072338, -0.009701810881516152, 0.38326244558330314, 0.27659737827005987, 0.03777964800785797, 0.3913920877163386, -0.08281521302847848, 0.05559632293292812, 0.08608938675460336]",2,0,7.384236367406564,0.02711382524300504,0.3609442404265214
"[0.390111095081594, 0.0036062363849121205, 0.40583397574027963, 0.27763204690124166, 0.026321106062497886, 0.3907650344215502, 0.09226187221551886, -0.04211379450922094, -0.08875100756122009]",2,1,7.638789458318937,0.018273601107421468,0.4305533628236388
"[0.41100973921723494, -0.009267547442445592, 0.006447619152695031, 0.38810877735269034, -0.0035309837918962718, 0.3813310321986826, 0.2807855861025349, 0.029768202651525105, -0.019814849967162946, 0.35129442072187894, 0.016527594986473965, 0.39754416974365236, -0.08062340573735803, 0.04299543562742838, -0.028479961008660303, 0.020740199251985468, 0.024678672695480908, 0.09135103028213959]",3,0,7.385501310939744,0.027217952371472003,0.3600918216215786
"[-0.3138910982543195, 6.818845654068105, 19.55518172171278, -53.30651968228629, -215.82175464441895, -469.1414409805198, 0.03999215150310086, 4.006900753003881, 4.217336206643254, -68.04795799190573, -72.36925293417309, 11.041334484681311, 0.39517958507365447, 5.190098640346559, -14.38583552260057, -174.18912334276945, -46.457361931591585, 449.9546636285458]",3,1,9.190371067942596,0.031092098085396706,0.48706389776629194
"[0.4043121649286552, 0.005342580262367093, -0.00464698813153869, 0.39629772974241234, 0.008125705737973932, 0.3999273338962272, 0.3798920618686674, 0.03231357799749216, -0.02566765454704563, 0.32757323761290913, 0.05195112631451572, 0.354104468292567, -0.0735671814887686, -0.051701742026049914, 0.04106834559986428, 0.010142875287221558, -0.08312184224542513, -0.032306862271505324]",3,2,7.639360784005821,0.018247299487066312,0.4310815709797546
"[0.4075483163798546, -0.012886991652477676, 0.0009758703919837829, -0.0031270608928313263, 0.3964099670870848, -0.002903182664585076, -0.001859680918437198, 0.3754739294728542, 0.0003619028394360879, 0.3757977160177288, 0.28968613932354925, 0.03486843160664432, -0.00196501139606015, 0.01167965532243951, 0.31642234279549764, 0.012500760184631005, 0.011034914650861942, 0.397495900363417, -0.0017269842207411788, 0.39831454912810377, -0.06473634495026043, 0.049346027238261946, -0.0026560511385629124, 0.01712392759350098, -0.027527581174634996, 0.018549675929411452, 0.01672600012200574, 0.09172212878533366, -0.0025822058211012887, 0.09319393729361736]",4,0,7.386382924794111,0.027083399524574343,0.3623709334703515
"[0.5173761788042961, -1.3847104840428814, -0.16429687417430378, 15.955136408734782, -4.277835569928362, 10.197548053296453, 25.56629942217875, 1.8917583627510903, -117.74130957262102, 21.42862374338754, -0.14878144991731346, -0.22948035940375014, 1.9506324313474204, -3.1129717903207466, 1.1828903991457946, 0.04852007169253036, -8.121848527792547, -6.069906172903601, 19.00692430192159, 17.102776026944245, -1.6981575976380592, -5.909778898709144, 5.734302445324006, 49.66764331246788, -8.135300092535822, 27.39301861462642, 23.4554471573966, -13.350903275076911, -263.3076119869498, 356.170508828975]",4,1,6.875552282132324,0.35327696879044396,0.3398928214916905
"[-54.92815754107964, 37.77124769801077, -138.41334442158364, -9.551220489212037, 21.151534864499904, -28.569838677847095, -8.968157096136304, -20.381159897660226, 17.068019143834356, 3.9095857548217956, 8.263549475957113, -23.181221533697837, 67.29341251141004, 8.325577640655789, -1.1127660496092824, -9.822525350768107, 1.8592352318340422, 66.93971357833304, 0.04772640670754298, -0.8333656868831967, -14.737231297259795, 4.785015816222919, -23.749716183063292, -2.425561729763522, 1.4229220460721455, -3.306119385989124, -0.888190498565157, -0.7536926156743309, 1.6315790421745715, 0.5759810947582134]",4,2,6.564173367035076,0.0219136456217746,0.38797538686660865
"[0.3910149516899352, 0.0007846111462167978, 0.00021518880081683307, -0.00610765707881837, 0.38759940272619897, 4.713950543713464e-05, -0.0014231584229818196, 0.38747957421708434, -0.0008624114493151225, 0.40416134823805827, 0.34418392888758415, -0.0013991089110404445, 0.010940267093734168, -0.020300664971489406, 0.28494211028216493, -0.012911656909266087, -0.01067543993597476, 0.2875501250712539, -0.0017167935238271484, 0.3872438277777618, -0.0161398560037116, 0.0022385279036761132, -0.01750440069533133, 0.03248109608361378, 0.07864707994912987, 0.02065860322805669, 0.017080692351136705, 0.07447427417611169, 0.00274683941853482, -0.08503561432933907]",4,3,7.639281696622248,0.01828843104741995,0.4311778788769493
